participant_index,ResponseId,abortion_group,abortion_score,NPC,ALowC,AHighC,MisC,NPO,ALowO,AHighO,MisO
1,R_1nYGBtbfwGILNX4,pro-life,2.4234533702677745,how long to roast chicken,fetus survival outside if womb,abortion by state,breast cancer risk pre and post abortion,j,illegal abortion and doctor license,j,g
2,R_1OZfPRaA9iHAHW8,pro-life,2.4443828870421664,s,v,v,d,fv,f,d,f
3,R_27qGmFuAyTjc0qg,pro-choice,4.005355493998152,Roast chicken,How long can a fetus survive outside womb at 12 weeks,How many states is abortion illegal,Is breast cancer risk higher after having an abortion,benefits of washing chicken,doctor who lost license for performing illegal abortion,catholic bishop steps down due to abortion stance,planned parenthood selling fetuses
4,R_3oLdu2ZjIxSKTYV,pro-life,3.021175746383502,roasted chicken recipe ,conception after birth ,different state laws of abortion ,breast cancer related to abortion ,Seasonal Holidays 2021,Seasonal Holidays 2021,Seasonal Holidays 2021,Seasonal Holidays 2021
5,R_2V7J1egwfrItB53,pro-life,2.88341028008618,how long should you roast a chicken,how long before a baby can live,how many states have outlawed abortion,abortion breast cancer,"Shopping
Never, Ever Wash Raw Chicken. Here's Why. - Food Repu
	1	
2
	
3
	
Next
Longfellow, Iowa City, IA
 - From your IP address
 - Update location
HelpSend feedbackPrivacyTerms",,test,test
6,R_1DUXasikGDATDvP,pro-choice,4.762757771622036,chicken roast time,can 12 week fetus survive outside ,how many states banned abortion,Increase in breast cancer after abortion,benefits of washing chicken,doctor fired for performing abortion,catholic bishop abortion forced to step down,illegal sale of fetuses by planned parenthood
7,R_1eFtxAA4TDXkzsF,pro-choice,3.723176361957525,roasting chicken recipe,how long can a fetus survive outside the womb,states that have outlawed abortion,does the risk of breast cancer increase after an abortion,benefits of washing chicken before cooking it,doctor who lost his license for performing an abortion,catholic bishop abortion,fetuses being sold by planned parenthood
8,R_232xqJAFdRucNUd,pro-life,3.0,roasted chicken recipe,how long can a fetus survive outside the womb,states that have outlawed abortion,risk of breath cancer after having an abortion,benefits of washing chicken before cooking,doctor performing illegal abortion,catholic bishop forced to step down because of abortion position,illegal sales of babies by planned parenthood
9,R_bkDF1OodYsIGwDf,pro-life,3.067836257309941,who should you roast a chicken for?,can a fetus survive 12 weeks after conception?,Which States outlawed abortion.,does breast cancer have an increase on abortion?,do you have to wash the chicken before you cook it?,who lost their license and got fired for performing an abortion?,which bishop stepped down because of his position on abortion?,Planed Parenthood with the sale of fetuses
10,R_4Izl6AD4Ho9Ftgl,pro-life,2.4594028931979066,s,s,s,z,s,s,z,x
11,R_3z8WBIz2JfmEu1X,pro-choice,4.662049861495844,how long to roast a chicken ,can fetus survive outside womb 12 weeks after conception,abortion states ,does abortions increase great cancer risk ,is washing chicken useful,doctor fired for abortions,catholic bishop steps down abortion,planned parenthood fetus sale
12,R_3inktcDecUFs7fw,pro-life,2.4234533702677745,v,v,v,v,v,v,v,v
13,R_2DUYO3Zbbbk2Lbo,pro-life,3.0,Roast chicken,how long 12 week old fetus would survive out of womb,How many states have outlawed abortion,Does breast cancer risk increase after an abortion,Benefits of washing chicken,Doctor lost license in state that abortion is illegal,Catholic bishop resigning,planned parenthood selling fetus
14,R_DuExX5jmB7JE3Lz,pro-choice,4.584241305016927,how long should i roast my chicken,can a fetus survive at 12 weeks,how many states have outlawed abortion,abortion breast cancer,should i wash my chicken,doctor abortion illegal,catholic bishop fired abortion,planned parenthood sales
15,R_2y1J2bvbtW5XkvP,pro-life,3.0,chicken roast,fetus can survive on its own,abortion outlawed,risk of breast cancer after abortion,wash chicken,doctor license removed,catholic down,sale of fetus by PP
16,R_27UX7buu2ZNeHfU,pro-choice,4.479224376731301,how long should i roast a chicken for,how long can a fetus survive on its own outside the womb after conception,How many states banned abortion,does getting an abortion increase the chances of getting breast cancer,what are the benefits of washing chicken,Doctor who got fired for doing abortions,Catholic bishop stepping down,Fetus Selling by Planned Parenthood
17,R_1mypsjiP5KbslbU,pro-choice,4.795752539242843,how should i roast chicken,can a fetus survive 12 weeks outside womb,how may states have outlawed abortion,does breast cancer increase after abortion,should I wash chicken before cooking,doctor who lost license due to abortion,catholic bishop and abortion,sale of fetuses social media
18,R_2CJTmiJbIarCVa6,pro-choice,4.880701754385964,how long do i roast a chicken for ,how long can a fetus survive 12 weeks after conception ,states banning abortion ,does you risk of breast cancer increase after having an abortion ,should i wash a chicken before i cook it,doctor fired for performing abortion,Bishop forced to resign after supporting abortion,Planned parenthood illegal fetus
19,R_3QW8ajBjMYZUJLX,pro-choice,4.999999999999998,how long should i roast chicken,when is the earliest a fetus can be viable,outlawed abortion rights by state,risk of breast cancer after pregnancy,should i wash my chicken?,doctor loses license over abortion,Catholicism and abortion,illegal sales of fetus (planned parenthood)
20,R_3Ed3w5uK2WqBBEy,pro-choice,4.025300092336103,time to roast chicken,can a fetus survive after 12 weeks in womb,states who outlawed abortion,does the risk of breast cancer increase after getting an abortion,should you wash chicken before use,doctor who lost licesnse from abortion,bishop who was forced to step down due to beliefs,illegal fetus sale by planned parenthood
21,R_3meJMhodPD5FVo2,pro-choice,4.999999999999998,how long you should roast a chicken,when can a fetus survive outside the womb,illegal abortion states,risk of breast cancer after abortion,should i wash chicken before cooking,doctor fired for illegal abortion,bishop forced to step down because of abortion position,planned parenthood illegal fetus sale
22,R_rdwfyB8e9P4g5wd,pro-choice,4.0440135426285,chicken roast time,fetus survival 12 weeks after conception,states outlawed abortion,breast cancer risk after abortion,wash chicken before cooking,doctor fired for abortion,Catholic bishop forced to step down,Planned Parenthood illegal sale of fetus
23,R_1hywkQhx1kpjuE9,pro-choice,4.047091412742382,how long to roast chicken,fetal viability 12 weeks,where is abortion banned,abortion breast cancer,washing raw chicken,illegal abortion doctor fired,catholic bishop abortion,planned parenthood fetus sale
24,R_O8dZk4lDXmJTniN,pro-choice,4.572668513388734,roasted chicken recipe ,can fetuses survive outside after 12 weeks ,in what states is abortion legal ,does abortion increase risk of breast cancer ,should you wash chicken before consumption?,doctor loses license,catholic bishop forced to step down news,illegal sale of fetuses
25,R_2AMPk0KzutG3NI4,pro-life,2.727423822714681,how long should you roast a chicken,can fetus survive on its own outside the womb 12 weeks after conception,how many states have outlawed abortion ,does risk of breast cancer increase after getting an abortion,benefits of washing chicken before cooking it,doctor who lost license for performing abortion in an illegal state,Catholic Bishop reign for his position on abortion,planned parenthood illegal sale of fetuses
26,R_1nWbazxQ5n37vbJ,neutral,3.5865189289012,How long do you roast a chicken,Can a fetus can survive on its own outside the womb 12 weeks after conception,How many states have outlawed abortion,Does the risk of breast cancer increase after receiving an abortion,What are the benefits of washing chicken before you cook it.,Abortion doctor who lost their licence,Catholic Bishop who stepped down due to his view on abortion,Illegal sale of fetuses
27,R_elI2hklzMR0qT6x,pro-choice,3.685010772545398,How long should you generally roast a chicken?,Can a fetus survive on its own outside of a womb after 12 weeks?,How many states have outlawed abortion so far.,Will the risk of breast cancer increase after an abortion?,What are the benefits of washing chicken before you can cook it?,Doctor lost license for giving and abortion.,Catholic bishop view on abortion having to step down.,Sale of fetuses.
28,R_3e38BS4Nejr7QfW,pro-choice,3.8290550938750383,How long should I roast chicken?,Can a fetus survive on its own outside the womb 12 weeks after conception?,Number of states that outlawed abortion.,Does risk of breast cancer increase after receiving an abortion?,Benefits of washing chicken before cooking,Doctor lost license for abortion where abortions are illegal,Catholic bishop forced to step down position,illegal sale of fetuses by Planned Parenthood
29,R_1fiI2xTmFwqFaeb,neutral,3.192182209910741,e,r,r,g,e,ww,t,ww
30,R_2CDha4lgTH034G6,pro-choice,3.962019082794705,how long is the best time to roast a chicken,survival rates of fetuses outside the womb,how many states have outlawed abortion in 2022?,Does receiving an abortion cause an increased risk of breast cancer?,major benefits of washing chicken before you cook it,Can doctors lose their license and job for performing an abortion in a state where it is illegal?,Can your views on abortion cause you to lose power in the work place?,Planned parenthoods illegal sale of fetuses
31,R_PTJbGjuozWftDdT,pro-life,2.884641428131733,how long I should roast a chicken,premature baby?,which states,how much it increases,nothing,law of abortions,abortion in Catholic,nothing
32,R_8DrLJIFbklpxsf7,pro-choice,4.388981224992304,How long to roast chicken,when can a fetus survive outside womb,States banning abortion,breast cancer high risks,Should you wash chicken,Doc loses license,Bishop steps down,Illegal fetus sale
33,R_1Kfm2yXX4Wm1QCn,neutral,3.2409356725146194,how long should a chicken be roasted,can a fetus survive outside the womb 12 weeks after conception,how many states have outlawed abortion,does getting an abortion increase your risk of breast cancer,benefits of washing chicken before cooking,doctor who lost license and job for performing an illegal abortion,catholic bishop stepping down because of abortion opinion,is planned parenthood selling fetuses
34,R_3M9IHiJJIpiBWrP,pro-choice,3.956478916589719,roast chicken recipe,how long can a fetus survive outside the womb,where is abortion illegal,breast cancer and abortion rate,washing chicken before cooking,doctor fired for abortion,catholic bishop abortion fired,planned parenthood fetus sale
35,R_D6IuxhW16omfkSR,pro-choice,4.344167436134194,How long should I roast a chicken for.,Can a fetus survive on its own outside the womb for 12 weeks after conception?,How many states in the U.S have outlawed abortion?,Do abortions increase the risk of breast cancer?,What are the benifits of washing chicken before you cook it?,Doctor who got banned for performing abortion.,What Catholic bishop was forced to step down?,Illegal sal of fetuses by planned parenthood.
36,R_3fqHvuGGv79hF7H,pro-life,2.011511234225916,How long should I roast a chicken,How long can fetus survive outside womb,How many states outlawed abortion,Does the risk of breast cancer increase after abortion,Should I wash chicken before cooking,Doctor fired for illegal abortion,Bishop forced to leave because of abortion beliefs,Planned Parenthood illegal fetus sale
37,R_2aksGrhSagcrWvQ,pro-choice,4.707109879963064,How long should you roast a chicken,How far after conception can a fetus survive on its own outside the womb,How many states have outlawed abortion,Does having an abortion increase the chance of breast cancer,What does washing chicken before cooking it do,Doctor performs illegal abortion and loses license,Catholic bishop forced to step down because of abortion opinion,Planned Parenthood illegal fetus sale
38,R_1Fz7OscrTJ09oBd,pro-choice,4.244813788858109,best way to roast chicken ,can fetus survive outside the womb?,Is abortion illegal in my state,do abortion cause breast cancer?,washing chicken fake,Is abortion illegal in my state,Catholic bishop step down,illegal sales of fetuses
39,R_1dALuFYiYSKVfqd,pro-choice,4.304647583871961,how long should you roast a chicken,when can fetus survive outside the womb,number of states that have outlawed abortion,does the risk of breast cancer increase after abortion,washing chicken before cooking benefits,doctor loses license for performing abortion,bishop steps down abortion,planned parenthood illegal fetus sale
40,R_28XJoO9HKFm8JZV,neutral,3.660018467220682,how long dose it take to roast a chicken?,how long can a fetus survive outside the womb?,in how many states is abortion illegal? ,dose having an abortion increase the risk of breast cancer?,benefits of washing chicken before cooking it?,doctor loses medical license for performing abortion,Catholic bishop forced to step down because of stance on abortion,illegal sale of fetuses planned parenthood
41,R_3EmAYc3B9TVny48,pro-choice,4.429732225300092,how long should you roast a chicken,how long after conception can a fetus survive on its own,what states have outlawed abortion,does having an abortion increase your chances of getting breast cancer,why you should wash chicken before cooking,doctor who lost license for performing abortion,catholic bishop abortion policy,planned parenthood selling fetuses
42,R_eWdAvtHLyH6X8lz,pro-choice,4.537827023699599,how to bake something,how do premature babies live,Status of women who want abortions by state,Who Says You Get Breast Cancer After An Abortion,benefit of clean chicken,how is the doctor,catholic rule,where are the Planned Parenthood Association
43,R_1etRlBIEdnKPpKN,pro-choice,3.901446598953524,How long do I roast chicken,Can a fetus survive by itself for 12 weeks after the conception outside the womb,Number of states illegal abortion,Do abortions increase risk of breast cancer,Should I wash a chicken before I cook it,Docter fired for abortion,Catholic bishop abortion,Planned parenthood fetuses
44,R_2CWFUvCBklujJVq,pro-choice,4.7939058171745135,how long should you cook a chicken,can a fetus survive 12 weeks out of the womb,how many states banned abortion,does breast cancer chances increase after getting an abortion,does washing chicken before you cook it help?,doctor fired for giving an abortion in red state,Bishop stepping down in positions due to abortion beliefs?,planned parenthood selling aborted fetuses
45,R_3k5NRnD0stT6DAP,pro-choice,4.425176977531547,Recommended chicken roast time,Can a fetus survive after 12 weeks?,States that have outlawed abortion,Breast Cancer Abortion links,does washing chicken help cook the chicken?,Doctor fired after illegal abortion,Catholic bishop steps down abortion,Planned Parenthood fetuses sale
46,R_25zMce4UousUcQU,pro-choice,4.1923668821175735,how long should you roast the chicken,Fetus survivability for 12 weeks outside womb,Number of states bans abortion,does abortion increase the risk of breast cancer,how washing chicken is beneficial,doctor gets fired over helping woman performing abortion,Pope Francis abortion speech,fetus blackmarket
47,R_1IlKKfXI5TG6BnE,pro-choice,4.490550938750385,how long you should roast a chicken,can a fetus survive on its own outside the womb 12 weeks after conception,how many states have outlawed abortion, the risk of breast cancer increases after receiving an abortion,benefits of washing chicken before cooking it,doctor who lost their license and got fired for performing an abortion in a state where abortions were illegal,catholic bishop who was forced to step down because of his position on abortion,illegal sale of fetuses by Planned Parenthood
48,R_6o3PxC1JcTwQnBL,pro-life,2.347368421052631,How long to roast a chicken,how long until a fetus can survive on its own outside the womb?,States with outlawed abortion,abortion breast cancer,Purpose of washing chicken before cooking,abortion doctor lost license,Catholic bishop abortion stepped down,Planned Parenthood selling fetuses
49,R_29bpZnpodZFBhCz,pro-choice,4.631024930747921,how long should I roast a chicken,can a fetus can survive on its own outside the womb 12 weeks after conception,the number of states that have outlawed abortion,does the risk of breast cancer increase after receiving an abortion,the benefits of washing chicken before you cook it,doctor who lost their license and got fired for performing an abortion in a state where abortions were illegal,Catholic bishop who was forced to step down because of his position on abortion,illegal sale of fetuses by Planned Parenthood
50,R_1pScNm1opUhS4o2,neutral,3.4225300092336104,how look should i cook a chicken for ,can a fetus survive on its own outside the womb for 12 weeks,how many states outlawed aberration,does the risk of breast cancer increase after having an abortion ,should you wash chicken before your cook it,doctor fired for preforming abortion,catholic bishop fired because of abortion,illegal sale of fetuses
51,R_2RPlTJhCCtDC247,pro-life,2.90101569713758,How long do you roast a chicken,Can a fetus survive a womb after 12 weeks,States that outlaw abortion,Does the risk of breast cancer increase after a abortion,Does washing chicken help,Doctor illegal abortions,Catholic Bishop abortion,Planned Parenthood illegal
52,R_3hoquoQ2Zhbq3S7,pro-choice,4.154816866728223,how long should i roast a chicken?,can a fetus can survive on its own outside the womb 12 weeks after sex?,states with outlawed abortion,is the risk of breast cancer increased after getting an abortion?,chicken washing before cooking,illegal abortion performed by doctor,catholic bishop forced to leave because of abortion,outlawed sale of fetuses by planned parenthood
53,R_d4oblwal1WVxtgB,pro-choice,4.483533394890735,How long to roast a chicken,How long can a fetus survive outside the womb,How many states outlaw abortion?,Does breast cancer risk increase after abortion,Should i wash chicken,Doctor loses liscensce for abortion,Catholic bishop abortion,Planned parenthood sells fetuses
54,R_1NyT74YYJy41VQo,pro-choice,4.553831948291781,How long to roast chicken,can fetus survive after 12 weeks,number of states abortion is illegal,Breast cancer increase after abortion,Benefits of washing raw chicken,"Doctor ""name"" fired for abortion","Bishop ""name"" steps down over abortion",Planned parenthood sells fetus
55,R_3qrJW3qdPYJ09bA,pro-life,2.51369652200677,How long should you roast a chicken,When can fetuses survive on their own after conception,How many state have outlawed abortion?,Abortion risks great cancer,Wasting chicken before you cook it,Doctor fired for illegal abortion,Catholic bishop forced to step down because of abortion,Has Planned Parenthood participated in illegal sales of fetuses?
56,R_AbrGHxtfznbv8dz,pro-choice,4.394152046783625,chicken roast time,fetus survival time outside womb,number of abortion banning states,breast cancer risk after abortion,chicken washing prep benefits,doctor abortion license loss,catholic bishop abortion controversy,planned parenthood fetus sale
57,R_1LCha6ctnR85Uvf,pro-choice,4.201354262850107,How to roast a chicken,How long can a fetus survive outside of womb,Where is abortion illegal,Breast cancer and abortion,Why wash chicken?,Abortion doctor fired,Catholic bishop abortion,Planned Parenthood fetus sale
58,R_3in9QAm62pjyHgr,pro-choice,4.641120344721452,How long to roast chicken,How many weeks old can a baby be to survive outside the womb.,How man states outlaw abortion,Does abortion lead to breast cancer,Should I wash chicken,US doctor fired for abortions,Catholic bishop steps down because of abortion,Planned parenthood selling fetuses
59,R_3OlDV3EfLimeIKo,pro-life,2.781471221914435,How long should I roast a chicken?,How long can a fetus survive on its own outside the womb?,What States outlawed abortions ,Does receiving an abortion man me high risk to breast cancer?,Benefits of washing a chicken before cooking?,Doctor losing license over an illegal abortion,Why was Catholic Bishop forced to step down?,Planned Parenthood sale of illegal fetuses
60,R_20SFinDO6DyX7Za,pro-choice,4.119606032625423,How long should you roast a chicken,Can a fetus survive at 12 weeks outside the womb,how many states dont allow abortion,Does abortion increase breast cancer ,Should I wash my chicken,Doctor fired over abortion,Catholic bishop abortion,illegal fetus sale planned parenthood
61,R_2Y54iwrAJXMlP16,pro-choice,4.6528162511542,How long to roast chicken,when can a fetus survive on its own,How many states outlaw abortion,Does abortion cause breast cancer,should I wash chicken,Doctor fired for illegal abortion,Catholic bishop steps down because of abortion views,Planned parenthood selling fetuses
62,R_pabWtwn3Xk0xNFn,pro-life,2.5343798091720524,How long do I roast a chicken?,Can a fetus survive outside of the womb on its own 12 weeks after conception?,What states have outlawed abortion?,Does having an abortion increase the risk of breast cancer?,What are the benefits of washing a chicken before you cook it?,Doctor fired for performing an illegal in state abortion,Catholic Bishop stepping down because of ideals on abortion.,Planned Parenthood selling fetuses illegally.
63,R_2OSAAZNmuEIwcGv,pro-life,2.743798091720529,How long should you roast a chicken,How long Can a fetus survive on its own after conception,How many states have outlawed abortion,Abortion risks,Benefits of washing chicken before cooking,Doctor loses license after illegal abortion,Catholic Bishop forced to step down after abortion position,Illegal sale of fetuses by Planned Parenthood
64,R_AANDP6TeM77PsWd,pro-choice,4.058171745152354,chicken roast time,outside womb survival fetus ,number of states without abortion,link bw breast cancer and abortion,chicken wash required,doctor license abortion loss,bishop excommunicated abortion,planned parenthood fetus sale
65,R_2ebd4FqggxmV92v,pro-choice,3.8704216682056014,How long to roast chicken?,Can a fetus survive on its own for 12 weeks?,what states is abortion outlawed in?,Does the chance of breast cancer increase after receiving an abortion?,Why is washing chicken good?,Lost license over abortion,Resignation of bishop,illegal fetus planned parenthood
66,R_RwNfaWuUQK2mqPf,neutral,3.2910433979686053,How long should you roast a chicken,How long can a fetus live outside the womb,States outlawing abortion,Abortion increases risk of breast cancer,Washing chicken before cooking benefits,Doctor fired for abortion,Catholic bishop position on abortion,Planned Parenthood illegally sells fetuses
67,R_2bZzHXdXiVvSw6a,neutral,3.586888273314865,How long do you roast a chicken? ,How long can a fetus survive on its own outside of the womb 12 weeks after conception,How many state have outlawed abortion?,Does the risk of breast cancer increase after an abortion?,What are the benefits of washing chicken,Doctor who lost their license from performing abortion in an illegal state,Catholic Bishop losing his job due to abortion,Planned Parenthood illegal sale of fetuses
68,R_Dw5yLv7oGjRo7zX,pro-life,3.093197907048322,how long to cook a chicken,how long can a fetus survive,how many states are abortion legal in ,breast cancer risk after abortion,benefits of washing chicken before cooking,doctor performs illegal abortion,catholic priest abortion,illegal fetus sale
69,R_3iX4AFQtEcwSex4,pro-life,3.0,How long to roast a chicken?,whether a fetus can survive on its own outside the womb 12 weeks after conception. ,number of states that have outlawed abortion,risk of breast cancer increases after receiving an abortion. ,benefits of washing chicken before you cook it.,doctor who lost their license and got fired for performing an abortion in a state where abortions were illegal.,Catholic Bishop who was forced to step down because of his position on abortion.,illegal sale of fetuses by Planned Parenthood.
70,R_qCIjx8EP1Uxvemt,pro-life,1.762573099415205,how long should i roast a chicken,can a fetus survive outside of the womb after 12 weeks ,number of states that have outlawed abortion ,does the risk of breast cancer increase after receiving an abortion? ,benefits of washing chicken before cooking it,doctor loses license over illegal abortion performed,Catholic bishop steps down over view on abortion,illegal sale of fetuses by planned parenthood
71,R_1LZGS6v35vrLLUu,pro-choice,3.790766389658355,How long should I roast a chicken?,when can a fetus survive outside of the womb?,Which states have outlawed abortion?,does abortion increase chances of breast cancer?,Should I wash my chicken before cooking?,doctor fired for performing abortion,Catholic Bishop on Abortion,Does Planned Parenthood sell fetuses?
72,R_R37a3VCm6QfRboZ,pro-choice,4.720529393659587,how long should you roast a chicken for,can a fetus survive on its own outside the womb 12 weeks after conception,how many states have outlawed abortion,does risk of breast cancer increase after abortion,benefits of washing chicken before cooking it,doctor fired for performing abortion,catholic bishop forced to step down because of position on abortion,illegal sale of fetuses by planned parenthood
73,R_7PThJFx3Jt2cRQR,pro-choice,4.720529393659587,how long should you roast a chicken for,can a fetus survive on its own outside the womb 12 weeks after conception,number of states that have outlawed abortion,are risks of breast cancer higher after abortion,benefits of washing chicken before you cook it,doctor who lost license and got fired for performing abortion,catholic bishop forced to step down because of position on abortion,illegal sale of fetuses by Planned Parenthood
74,R_3O3tWkuGfiJKWF5,pro-choice,3.773776546629732,How long should I roast a chicken?,When can a fetus survive outside of the womb,How many states outlawed abortion?,Breast cancer and abortions,Benefits of washing chicken,Doctor loses license over illegal abortion,Bishop resignation over abortion,Fetus sale Planned Parenthood
75,R_2ONF2ALT0NVHrlC,pro-choice,4.999999999999998,How long to roast a chicken ,Fetus survive outside the womb 12 weeks,States abortion,Abortion risk of breast cancer,Washing chicken before cooking,Abortion doctor lose license,Catholic bishop be forced to step down abortion,Planned Parenthood and illegal sale
76,R_333xHie9sjAh7d4,pro-choice,3.706186518928901,how long to roast chicken,can a 12 week old fetus survive,state that dont allow abortion,abortion breast cancer risk,why should you wash chicken,doctor illegal abortion,catholic bishop abortion,planned parenthood sell fetus
77,R_3ltPUTuOhd4BA8w,pro-choice,4.140535549399814,How long should you roast a chicken?,how long can a fetus survive outside the womb,which states ban abortion,does abortion increase risk of breast cancer,should you wash your chicken,doctor losing license for abortion,is aboriton allowed in catholicism,planned parenthood illegal sale of fetuses
78,R_2DSJbrZFuW4Sg0Q,pro-life,2.7180670975684817,instructions on how long to roast a chicken,"12 weeks after conception, can a fetus survive on its own outside of the womb?",how many states have outlawed abortion?,does the risk of having breast cancer increase after receiving an abortion?,what are the benefits of washing chicken before you cook it?,doctor loses license and is fired for performing an abortion recently,Catholic bishop steps down due to position on abortion,What is the illegal sale of fetuses by Planned Parenthood?
79,R_cPj5BSTYnHLcHwB,neutral,3.2836565096952905,how long to roast a chicken,can a fetus live outside the womb after 12 weeks of conception,how many states have outlawed abortion ,does breast cancer increase after an abortion ,how to wash a chicken,doctor loses license over abortion,bishop steps down after abortion,planned parenthood selling fetus
80,R_3ssLIgtUVK0zISR,pro-life,1.936903662665435,How long should I roast a chicken?,How long do fetuses survive,How many states outlaw abortion.,How does abortion increase the risk of cancer?,the benefits of washing chicken,What rights do doctors have on abortions?,What rights does the bishop have on abortion?,How is Planned Parenthood obtaining the fetuses?
81,R_56DXJB9MZB2U2Ln,neutral,3.185041551246537,how long you should roast a chicken?,can a fetus survive on its own outside the womb,how many states have outlawed abortion,does breast cancer increase after an abortion,benefits of washing chicken before cook,doctor getting fired for abortion situation,Catholic bishop view situation,illegal sale of fetuses by Planned Parenthood
